"Folder","*.laz","*.las","*.lda","ept.json","*.copc","*.copc.laz"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2008_Sherman_Pass_feet\2_DTM\info","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2008_Sherman_Pass_feet\3_Vectors","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2008_Sherman_Pass_feet\3_Vectors\SBET","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2008_Sherman_Pass_feet\3_Vectors\SHAPES","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2008_Sherman_Pass_feet\4_Report","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2008_Sherman_Pass_feet\4_Report\DATA_REPORT","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2008_Sherman_Pass_feet\4_Report\PNW_REPORT","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2008_Sherman_Pass_feet\5_Other_Vendor_Products","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2008_Sherman_Pass_feet\5_Other_Vendor_Products\RASTER","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2008_Sherman_Pass_feet\5_Other_Vendor_Products\RASTER\HIGHEST_HIT","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2008_Sherman_Pass_feet\5_Other_Vendor_Products\RASTER\HIGHEST_HIT\hh48118e1","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2008_Sherman_Pass_feet\5_Other_Vendor_Products\RASTER\HIGHEST_HIT\hh48118e2","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2008_Sherman_Pass_feet\5_Other_Vendor_Products\RASTER\HIGHEST_HIT\hh48118e3","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2008_Sherman_Pass_feet\5_Other_Vendor_Products\RASTER\HIGHEST_HIT\hh48118e4","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2008_Sherman_Pass_feet\5_Other_Vendor_Products\RASTER\HIGHEST_HIT\hh48118e5","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2008_Sherman_Pass_feet\5_Other_Vendor_Products\RASTER\HIGHEST_HIT\hh48118e6","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2008_Sherman_Pass_feet\5_Other_Vendor_Products\RASTER\HIGHEST_HIT\hh48118f1","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2008_Sherman_Pass_feet\5_Other_Vendor_Products\RASTER\HIGHEST_HIT\hh48118f2","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2008_Sherman_Pass_feet\5_Other_Vendor_Products\RASTER\HIGHEST_HIT\hh48118f3","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2008_Sherman_Pass_feet\5_Other_Vendor_Products\RASTER\HIGHEST_HIT\hh48118f4","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2008_Sherman_Pass_feet\5_Other_Vendor_Products\RASTER\HIGHEST_HIT\hh48118f5","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2008_Sherman_Pass_feet\5_Other_Vendor_Products\RASTER\HIGHEST_HIT\hh48118f6","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2008_Sherman_Pass_feet\5_Other_Vendor_Products\RASTER\HIGHEST_HIT\info","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2008_Sherman_Pass_feet\5_Other_Vendor_Products\RASTER\INTENSITY_IMAGES","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2008_Sherman_Pass_feet\6_Fusion_dtm","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2012_UTM10_11","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2012_UTM10_11\1_LAZ","1","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2012_UTM10_11\2_DTM","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2012_UTM10_11\2_DTM\COLVILLE","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2012_UTM10_11\2_DTM\COLVILLE\BE","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2012_UTM10_11\2_DTM\COLVILLE\BE\colville_be","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2012_UTM10_11\2_DTM\COLVILLE\BE\info","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2012_UTM10_11\2_DTM\COLVILLE_900_AGL","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2012_UTM10_11\2_DTM\COLVILLE_900_AGL\BE","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2012_UTM10_11\2_DTM\COLVILLE_900_AGL\BE\col_900_be","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2012_UTM10_11\2_DTM\COLVILLE_900_AGL\BE\info","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2012_UTM10_11\3_Vectors","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2012_UTM10_11\4_Report","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2012_UTM10_11\5_Other_Vendor_Products","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2012_UTM10_11\5_Other_Vendor_Products\ORTHOPHOTOS","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2012_UTM10_11\5_Other_Vendor_Products\ORTHOPHOTOS\COLVILLE","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2012_UTM10_11\5_Other_Vendor_Products\ORTHOPHOTOS\INDEX_SHAPES","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2012_UTM10_11\5_Other_Vendor_Products\POINTS","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2012_UTM10_11\5_Other_Vendor_Products\POINTS\COLVILLE","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2012_UTM10_11\5_Other_Vendor_Products\POINTS\COLVILLE_AGL_900","0","1","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2012_UTM10_11\5_Other_Vendor_Products\RASTERS","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2012_UTM10_11\5_Other_Vendor_Products\RASTERS\COLVILLE","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2012_UTM10_11\5_Other_Vendor_Products\RASTERS\COLVILLE\HH","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2012_UTM10_11\5_Other_Vendor_Products\RASTERS\COLVILLE\HH\colville_hh","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2012_UTM10_11\5_Other_Vendor_Products\RASTERS\COLVILLE\HH\info","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2012_UTM10_11\5_Other_Vendor_Products\RASTERS\COLVILLE_900_AGL","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2012_UTM10_11\5_Other_Vendor_Products\RASTERS\COLVILLE_900_AGL\HH","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2012_UTM10_11\5_Other_Vendor_Products\RASTERS\COLVILLE_900_AGL\HH\col_900_hh","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2012_UTM10_11\5_Other_Vendor_Products\RASTERS\COLVILLE_900_AGL\HH\info","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2012_UTM10_11\5_Other_Vendor_Products\RASTERS\INTENSITIES","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2012_UTM10_11\5_Other_Vendor_Products\RASTERS\INTENSITIES\COLVILLE","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2012_UTM10_11\5_Other_Vendor_Products\RASTERS\INTENSITIES\COLVILLE_900_AGL","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2012_UTM10_11\5_Other_Vendor_Products\THERMAL","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2012_UTM10_11\5_Other_Vendor_Products\THERMAL\INDEX_SHAPES","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2012_UTM10_11\5_Other_Vendor_Products\THERMAL\TIFFS","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2012_UTM10_11\5_Other_Vendor_Products\THERMAL\TIFFS\RADIANCE","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2012_UTM10_11\5_Other_Vendor_Products\THERMAL\TIFFS\TEMPERATURE","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\1_LAZ","1","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\2_DTM","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\3_Vectors","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\4_Report","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118F2","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118F2\RASTERS","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118F2\RASTERS\DEM","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118F2\RASTERS\DEM\BARE_EARTH","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118F2\RASTERS\DEM\BARE_EARTH\be48118f2","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118F2\RASTERS\DEM\BARE_EARTH\info","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118F2\RASTERS\DEM\HIGHEST_HIT","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118F2\RASTERS\DEM\HIGHEST_HIT\hh48118f2","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118F2\RASTERS\DEM\HIGHEST_HIT\info","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118F2\RASTERS\GROUND_DENSITY","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118F2\RASTERS\GROUND_DENSITY\gd48118f2","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118F2\RASTERS\GROUND_DENSITY\info","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118F2\RASTERS\INTENSITY","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118F3","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118F3\RASTERS","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118F3\RASTERS\DEM","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118F3\RASTERS\DEM\BARE_EARTH","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118F3\RASTERS\DEM\BARE_EARTH\be48118f3","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118F3\RASTERS\DEM\BARE_EARTH\info","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118F3\RASTERS\DEM\HIGHEST_HIT","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118F3\RASTERS\DEM\HIGHEST_HIT\hh48118f3","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118F3\RASTERS\DEM\HIGHEST_HIT\info","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118F3\RASTERS\GROUND_DENSITY","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118F3\RASTERS\GROUND_DENSITY\gd48118f3","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118F3\RASTERS\GROUND_DENSITY\info","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118F3\RASTERS\INTENSITY","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118F4","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118F4\RASTERS","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118F4\RASTERS\DEM","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118F4\RASTERS\DEM\BARE_EARTH","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118F4\RASTERS\DEM\BARE_EARTH\be48118f4","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118F4\RASTERS\DEM\BARE_EARTH\info","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118F4\RASTERS\DEM\HIGHEST_HIT","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118F4\RASTERS\DEM\HIGHEST_HIT\hh48118f4","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118F4\RASTERS\DEM\HIGHEST_HIT\info","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118F4\RASTERS\GROUND_DENSITY","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118F4\RASTERS\GROUND_DENSITY\gd48118f4","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118F4\RASTERS\GROUND_DENSITY\info","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118F4\RASTERS\INTENSITY","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118G2","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118G2\RASTERS","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118G2\RASTERS\DEM","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118G2\RASTERS\DEM\BARE_EARTH","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118G2\RASTERS\DEM\BARE_EARTH\be48118g2","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118G2\RASTERS\DEM\BARE_EARTH\info","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118G2\RASTERS\DEM\HIGHEST_HIT","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2014_usfsAlbers_meters\5_Other_Vendor_Products\48118G2\RASTERS\DEM\HIGHEST_HIT\hh48118g2","0","0","0","0","0","0"
