"Folder","*.las","*.laz"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111e21","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111e22","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111e23","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111e24","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111e31","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111e32","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111e33","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111e34","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111e41","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111e42","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111e43","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111e44","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111e52","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111e54","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111f11","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111f12","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111f13","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111f14","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111f21","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111f22","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111f23","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111f24","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111f31","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111f32","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111f33","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111f34","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111f43","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111f44","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111g13","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111g14","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111g23","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111g24","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111g34","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\info","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110a71","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110a72","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110b71","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110b72","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110b73","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110b74","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110b81","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110b82","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110b84","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110c61","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110c62","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110c71","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110c72","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110c73","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110c74","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110c81","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110c82","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110c83","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110c84","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110d51","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110d53","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110d61","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110d62","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110d63","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110d64","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110d71","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110d72","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110d73","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110d74","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110d81","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110d82","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110d83","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110d84","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110e51","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110e53","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110e61","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110e62","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110e63","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110e64","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110e71","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110e72","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110e73","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110e74","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110e81","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110e82","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110e83","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110e84","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110f63","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110f73","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110f74","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110f81","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110f82","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110f83","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110f84","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34110g83","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111c11","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111c12","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111c13","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111c14","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111c21","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111c22","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111c31","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111c41","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111c42","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111d11","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111d12","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111d13","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111d14","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111d21","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111d22","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111d23","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111d24","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111d31","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111d32","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111d33","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111d34","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111d41","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111d42","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111d43","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111d44","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111d52","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111d54","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111e11","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111e12","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111e13","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111e14","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111e21","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111e22","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111e23","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111e24","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111e31","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111e32","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111e33","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111e34","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111e41","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111e42","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111e43","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111e44","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111e52","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111e54","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111f11","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111f12","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111f13","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111f14","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111f21","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111f22","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111f23","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111f24","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111f31","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111f32","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111f33","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111f34","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111f43","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111f44","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111g13","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111g14","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111g23","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111g24","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\hh_34111g34","0","0"
"q:4FRI_Phase1\Rasters\Highest_Hit\info","0","0"
"q:4FRI_Phase1\Rasters\Intensity","0","0"
"q:4FRI_Phase1\Report","0","0"
"q:4FRI_Phase1\Vectors","0","0"
"q:4FRI_Phase1\Vectors\Flightlines","0","0"
"q:4FRI_Phase1\Vectors\Indices","0","0"
"q:4FRI_Phase1\Vectors\SBETs","0","0"
"q:4FRI_Phase2","0","0"
"q:4FRI_Phase2\All_Returns","1","0"
"q:4FRI_Phase2\Rasters","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109e11","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109e12","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109e31","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109e32","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109e33","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109e34","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109e41","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109e42","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109f11","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109f12","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109f13","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109f14","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109f21","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109f22","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109f23","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109f24","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109f31","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109f32","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109f33","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109f34","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109f41","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109f42","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109f43","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109f44","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109g11","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109g12","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109g13","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109g14","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109g21","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109g22","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109g23","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109g24","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109g31","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109g32","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109g33","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109g34","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109g41","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109g42","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109g43","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109g44","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109h11","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109h12","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109h13","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109h14","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109h21","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109h22","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109h23","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109h24","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109h31","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109h32","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109h33","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109h34","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109h41","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109h42","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109h43","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109h44","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109h52","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_33109h54","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34109a13","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34109a14","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34109a23","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34109a24","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34109a31","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34109a32","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34109a33","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34109a34","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34109a41","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34109a42","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34109a43","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34109a44","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34109a51","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34109a52","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34109a53","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34109a54","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34109a62","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34109a71","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34109a72","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34109a81","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34109a82","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34109b43","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34109b51","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34109b52","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34109b53","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34109b54","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34109b61","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34109b62","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34109b63","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34109b64","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34109b71","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34109b72","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34109b73","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34109b74","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34109b81","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34109b82","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34109b83","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34109b84","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34109c63","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34109c73","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34109c74","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34109c83","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34109c84","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34110b11","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34110b12","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34110b14","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34110b21","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34110b22","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34110b31","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34110b32","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34110c11","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34110c12","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34110c13","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34110c14","0","0"
"q:4FRI_Phase2\Rasters\Bare_Earth\be_34110c21","0","0"
